Filter Index,FG Influence,BG Influence,LFC
217,0.02067333234550578,0.0006090185414762112,5.085118003833437
224,0.005762467323477104,0.00020123624899658698,4.839655369874211
123,0.002313521361859347,8.901581049649803e-05,4.699729180719396
260,0.02162099468391332,0.000844444436966489,4.678270169824814
15,0.012701925930016341,0.0006198328677959003,4.357002053943422
23,0.0036895468745489933,0.00021655364834733182,4.09058455283724
94,0.006044245708604952,0.0003874624958469434,3.9633988849336284
190,0.008259230851128445,0.000585192496629448,3.819001352770296
63,0.0008828733698848628,6.475115259341293e-05,3.769022300950933
240,0.001005152549501535,9.089613904507494e-05,3.4669072896154605
6,0.0020419134622024805,0.0001867975332461111,3.45030425061709
198,0.0011516369060053985,0.0001076853413945948,3.4186707061520334
54,0.0006948835765559461,6.501706255457349e-05,3.4176798849957892
89,0.009509479792399264,0.0009142023570889585,3.378766714421018
200,0.0005290209359054217,5.1300055513912715e-05,3.3660385971001476
78,0.012425123123822565,0.001222009160189914,3.3459224983738873
9,0.003726818179043656,0.00037316107413709544,3.320039239834704
275,0.001105111086217126,0.00011495962614613914,3.264879781229535
167,0.004886845656033996,0.000510143853837497,3.259902181640059
66,0.0011044938274267129,0.00011649212990729554,3.244970182285189
